typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","178","COG","Congo","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4870",,"4870","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","188","CRI","Costa Rica","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","43650479",,"43650479","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","191","HRV","Croatia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","400",,"400","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","203","CZE","Czechia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1635106",,"1635106","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6100489",,"6100489","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","218","ECU","Ecuador","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1","false",,"false","25",,"25","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","222","SLV","El Salvador","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","203",,"203","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10",,"10","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","234","FRO","Faroe Isds","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","356",,"356","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","246","FIN","Finland","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","46325",,"46325","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","251","FRA","France","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","22245747",,"22245747","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","258","PYF","French Polynesia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","840",,"840","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","266","GAB","Gabon","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","724",,"724","0","true","false",
