year,total_hs8542_import_usd,other_asia_nes_taiwan_proxy_import_usd,taiwan_proxy_dependency_pct,total_import_yoy_growth_pct,taiwan_proxy_yoy_growth_pct
2014,9680795326.0,2207750958.0,22.805470869429268,,
2015,9389778348.49,2465589564.13,26.25822966871736,-3.0061267458925345,11.6787903633649
2016,9428383351.96,2280655915.33,24.189257375241226,0.4111386023953001,-7.500585316001496
2017,11141372218.53,2981502436.95,26.76063934019952,18.168426151381524,30.73004204225129
2018,11813161474.37,3395166874.86,28.740544029861958,6.029681467088044,13.874361891622943
2019,11267085662.933,3429520177.726,30.43839623061179,-4.622605156306159,1.0118295839999458
2020,12197818311.501,3919508783.225,32.13286739588012,8.260633462919053,14.287380744436827
2021,15127444464.527,4615399291.415,30.510105670775054,24.01762412105888,17.7545337101507
2022,19039358936.845,5908971683.033,31.035560087046566,25.859717954947502,28.027312696956574
2023,19588059644.307,7326313641.821,37.40193656164556,2.8819284792207522,23.986270959086674
2024,24427995897.78,10653838520.8,43.613231987517295,24.708604840702854,45.41881554161695
