year,rank,partner_country,trade_value_usd,share_of_total_import_pct
2023,11,Germany,444738628,2.2704578
2023,12,United Kingdom,223423903.8,1.14061274
2023,13,Netherlands,209692909.8,1.070513944
2023,14,Canada,103808750.5,0.529959335
2023,15,Italy,84491971.35,0.431344262
2024,1,"Other Asia, nes",10653838521,43.61323199
2024,2,China,2538341745,10.39111745
2024,3,Rep. of Korea,2076877128,8.502036503
2024,4,Japan,2047415670,8.3814312
2024,5,Malaysia,1582890836,6.479822752
2024,6,Viet Nam,1119729279,4.5837951
2024,7,USA,929402295,3.804660435
2024,8,Thailand,833751764.5,3.413099331
2024,9,Philippines,634778526.3,2.598569809
2024,10,Singapore,567363922.3,2.322597092
2024,11,Germany,322052937,1.318376417
2024,12,United Kingdom,256307748,1.049237723
2024,13,Canada,231907165.4,0.949349944
2024,14,Netherlands,208227081,0.852411642
2024,15,Italy,80654802.14,0.330173636
